   TIME     MODE     Q              P     KINETIC      POTENTIAL          TOTAL
   63.0000  L 1     -0.457401  0.096839   0.00501      -56.52589      -56.52087
   63.2500  L 1     -0.432485  0.102414   0.00565      -56.52652      -56.52087
   63.5000  L 1     -0.406234  0.107514   0.00629      -56.52716      -56.52087
   63.7500  L 1     -0.378770  0.112116   0.00692      -56.52779      -56.52087
   64.0000  L 1     -0.350219  0.116203   0.00750      -56.52838      -56.52087
   64.2500  L 1     -0.320712  0.119766   0.00803      -56.52891      -56.52087
   64.5000  L 1     -0.290380  0.122805   0.00849      -56.52936      -56.52087
   64.7500  L 1     -0.259354  0.125324   0.00885      -56.52972      -56.52087
   65.0000  L 1     -0.227761  0.127338   0.00912      -56.52999      -56.52087
   65.2500  L 1     -0.195726  0.128869   0.00929      -56.53017      -56.52087
   65.5000  L 1     -0.163366  0.129944   0.00937      -56.53025      -56.52087
   65.7500  L 1     -0.130790  0.130599   0.00938      -56.53025      -56.52087
   66.0000  L 1     -0.098099  0.130872   0.00932      -56.53020      -56.52087
   66.2500  L 1     -0.065383  0.130806   0.00923      -56.53010      -56.52087
   66.5000  L 1     -0.032722  0.130442   0.00911      -56.52998      -56.52087
   66.7500  L 1     -0.000184  0.129823   0.00899      -56.52986      -56.52087
   67.0000  L 1      0.032171  0.128987   0.00888      -56.52975      -56.52087
   67.2500  L 1      0.064294  0.127968   0.00879      -56.52966      -56.52087
   67.5000  L 1      0.096142  0.126795   0.00872      -56.52959      -56.52087
   67.7500  L 1      0.127680  0.125489   0.00866      -56.52954      -56.52087
   68.0000  L 1      0.158877  0.124067   0.00861      -56.52948      -56.52087
   68.2500  L 1      0.189705  0.122537   0.00854      -56.52942      -56.52087
   68.5000  L 1      0.220137  0.120904   0.00845      -56.52932      -56.52087
   68.7500  L 1      0.250148  0.119166   0.00831      -56.52918      -56.52087
   69.0000  L 1      0.279710  0.117320   0.00812      -56.52900      -56.52087
   69.2500  L 1      0.308797  0.115361   0.00788      -56.52875      -56.52087
